price_id,price_type,product_code,category_tag,price,price_per,currency,date,location_id,proof_id,proof_type,country,city,qc_price_positive,qc_currency_present,qc_date_present,qc_date_not_future,qc_date_valid,qc_proof_present,qc_proof_visual,qc_product_identity,qc_core_eligible,product_name,brands,categories_tags,nutriscore_grade,nova_group,off_source_sha256,off_acquired_at,off_last_modified_t,off_history_status,proof_metadata_sha256,proof_metadata_type,proof_prediction_count,year,month,day_of_week,proof_metadata_available
7237,PRODUCT,3384110004736,,2.300,,EUR,2019-04-12,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2019,4,4,False
7273,PRODUCT,3384110004736,,2.300,,EUR,2019-04-26,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2019,4,4,False
7316,PRODUCT,3384110004736,,2.300,,EUR,2019-05-17,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2019,5,4,False
7548,PRODUCT,3384110004736,,2.000,,EUR,2019-09-05,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2019,9,3,False
7626,PRODUCT,3384110004736,,2.000,,EUR,2019-10-17,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2019,10,3,False
7751,PRODUCT,3384110004736,,2.000,,EUR,2019-12-03,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2019,12,1,False
8029,PRODUCT,3384110004736,,2.000,,EUR,2020-03-03,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Poitrine Cuite Roulée,Saveurs Bressanes,"[""en:meats-and-their-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:pork"", ""fr:charcuteries-cuites""]",d,4.0,aee7ee61aaef49ced717631d7a48fa451ee7cd589b946594674713c65a8a42a7,2026-09-06T22:58:16.312420+00:00,1774440021,NO_VERIFICABLE_HISTORICAMENTE,,,,2020,3,1,False
8989,PRODUCT,3302740047312,,2.690,,EUR,2021-05-27,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Simplement bon - 25% de Sel*,Fleury Michon,"[""en:meats-and-their-products"", ""en:specific-products"", ""en:meats"", ""en:pork-and-its-products"", ""en:prepared-meats"", ""en:products-for-specific-diets"", ""en:hams"", ""en:prepared-pork-meats"", ""en:white-hams"", ""en:cooked-ham-of-superior-quality"", ""en:products-with-reduced-salt"", ""en:cooked-ham-superior-quality-reduced-salt"", ""en:prepared-meats-with-less-salt"", ""en:white-hams-with-less-salt""]",c,4.0,c6e416d7690beab36142fe27c4cfe15cba0edd1a6291fa0004a1c84a22a7a8bb,2026-09-06T22:58:11.178014+00:00,1774471953,NO_VERIFICABLE_HISTORICAMENTE,,,,2021,5,3,False
10016,PRODUCT,3038359004544,,0.870,,EUR,2022-08-10,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,Sauce Tomate concentrée cuisinée aux petits légumes,"Panzani, panzani","[""en:plant-based-foods-and-beverages"", ""en:plant-based-foods"", ""en:fruits-and-vegetables-based-foods"", ""en:vegetable-based-foods-and-beverages"", ""en:condiments"", ""en:vegetables-based-foods"", ""en:tomatoes-and-their-products"", ""en:sauces"", ""en:tomato-sauces"", ""en:meal-kits""]",d,4.0,1525ef9c4b93a3b937a69eaec8f574478094d6ae7f1cef983e3d35932dc3445a,2026-09-06T22:56:35.694423+00:00,1787478069,NO_VERIFICABLE_HISTORICAMENTE,,,,2022,8,2,False
10187,PRODUCT,3033491451652,,2.210,,EUR,2022-10-27,154,3070,GDPR_REQUEST,France,Belley,True,True,True,True,True,True,False,True,True,"Le petit suisse gervais nature 9,5 % 60 g x 12",GERVAIS,"[""en:dairies"", ""en:fermented-foods"", ""en:fermented-milk-products"", ""en:desserts"", ""en:dairy-desserts"", ""en:fermented-dairy-desserts"", ""en:fromages-blancs-petit-suisses-and-skyr"", ""en:petits-suisses"", ""en:plain-fermented-dairy-desserts"", ""en:plain-petit-suisse"", ""fr:fromages-blancs""]",c,1.0,4f4f349aabb1015eafbf3f0f76a06dc782c3b0cb841cf9095ed4cf9c1f2e1ec0,2026-09-05T19:37:13.847004+00:00,1788543018,NO_VERIFICABLE_HISTORICAMENTE,,,,2022,10,3,False
12494,PRODUCT,3760020507916,,2.820,,EUR,2023-10-09,14,3214,GDPR_REQUEST,France,Grenoble,True,True,True,True,True,True,False,True,True,Gaufrettes chocolat,"Jardin Bio étic, Jardin biologique, Léa Nature","[""en:snacks"", ""en:desserts"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:wafers"", ""en:chocolate-biscuits"", ""en:stuffed-wafers"", ""en:chocolate-stuffed-wafers""]",e,3.0,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,2026-09-05T19:36:23.581606+00:00,1773441594,NO_VERIFICABLE_HISTORICAMENTE,,,,2023,10,0,False
12495,PRODUCT,3760020507916,,2.820,,EUR,2023-10-09,14,3214,GDPR_REQUEST,France,Grenoble,True,True,True,True,True,True,False,True,True,Gaufrettes chocolat,"Jardin Bio étic, Jardin biologique, Léa Nature","[""en:snacks"", ""en:desserts"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:wafers"", ""en:chocolate-biscuits"", ""en:stuffed-wafers"", ""en:chocolate-stuffed-wafers""]",e,3.0,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,2026-09-05T19:36:23.581606+00:00,1773441594,NO_VERIFICABLE_HISTORICAMENTE,,,,2023,10,0,False
12496,PRODUCT,3760020507916,,2.820,,EUR,2023-10-09,14,3214,GDPR_REQUEST,France,Grenoble,True,True,True,True,True,True,False,True,True,Gaufrettes chocolat,"Jardin Bio étic, Jardin biologique, Léa Nature","[""en:snacks"", ""en:desserts"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:wafers"", ""en:chocolate-biscuits"", ""en:stuffed-wafers"", ""en:chocolate-stuffed-wafers""]",e,3.0,d9cea108ffaf5dd04b2e00df5ad1901015599cd34b55021ed1fc14aee7cff222,2026-09-05T19:36:23.581606+00:00,1773441594,NO_VERIFICABLE_HISTORICAMENTE,,,,2023,10,0,False
12601,PRODUCT,3456300014556,,2.650,,EUR,2022-09-08,3,3214,GDPR_REQUEST,France,Grenoble,True,True,True,True,True,True,False,True,True,Fourrés Chocolat🍫,"Jardin Bio étic, jardin bio étic Léa Nature","[""en:snacks"", ""en:frozen-foods"", ""en:sweet-snacks"", ""en:biscuits-and-cakes"", ""en:biscuits-and-crackers"", ""en:biscuits"", ""en:filled-biscuits""]",d,3.0,28163a9aa69ae9dc57a947e50ab8cfa93c424eb067341d182af5a868ba9d1823,2026-09-06T22:58:37.175429+00:00,1788508142,NO_VERIFICABLE_HISTORICAMENTE,,,,2022,9,3,False
13309,PRODUCT,5000112611878,,1.680,,EUR,2024-02-18,119,3275,PRICE_TAG,France,Mons-en-Barœul,True,True,True,True,True,True,False,True,True,coca cola zero,Cocacola,"[""en:beverages-and-beverages-preparations"", ""en:beverages"", ""en:non-alcoholic-beverages"", ""en:carbonated-drinks"", ""en:soft-drinks"", ""en:artificially-sweetened-beverages"", ""en:sodas"", ""en:diet-beverages"", ""en:colas"", ""en:diet-sodas"", ""en:diet-cola-soft-drink""]",unknown,4.0,f41cd3f2dade88d4268353353d5dbf52f2025a396d4f4a709efe3ac9ab99291f,2026-09-06T22:59:54.940802+00:00,1788030591,NO_VERIFICABLE_HISTORICAMENTE,,,,2024,2,6,False
13959,PRODUCT,7792052075169,,1600.000,,ARS,2024-02-18,191,3572,PRICE_TAG,Argentina,Buenos Aires,True,True,True,True,True,True,True,True,True,cereal de arroz con chocolate,Rock choc,"[""en:plant-based-foods-and-beverages"", ""en:plant-based-foods"", ""en:breakfasts"", ""en:cereals-and-potatoes"", ""en:cereals-and-their-products"", ""en:breakfast-cereals"", ""en:chocolate-cereals""]",unknown,,253db387eca8f481f6041cfaf085e2a0c07a95b922ffa485172d7e1c22e2d9f7,2026-09-06T23:00:15.704290+00:00,1708914145,NO_VERIFICABLE_HISTORICAMENTE,7207364b2e8462ff33fa4544c18643491b7abf35db31c8fd6953747cc540aae1,PRICE_TAG,2,2024,2,6,True
14122,PRODUCT,5000112611878,,1.890,,EUR,2024-02-27,197,3644,PRICE_TAG,France,Bosc-le-Hard,True,True,True,True,True,True,False,True,True,coca cola zero,Cocacola,"[""en:beverages-and-beverages-preparations"", ""en:beverages"", ""en:non-alcoholic-beverages"", ""en:carbonated-drinks"", ""en:soft-drinks"", ""en:artificially-sweetened-beverages"", ""en:sodas"", ""en:diet-beverages"", ""en:colas"", ""en:diet-sodas"", ""en:diet-cola-soft-drink""]",unknown,4.0,f41cd3f2dade88d4268353353d5dbf52f2025a396d4f4a709efe3ac9ab99291f,2026-09-06T22:59:54.940802+00:00,1788030591,NO_VERIFICABLE_HISTORICAMENTE,,,,2024,2,1,False
14135,PRODUCT,3240931548135,,3.990,,EUR,2024-02-27,194,3650,RECEIPT,France,Paris,True,True,True,True,True,True,False,True,True,Lustucru gnocchi a poêler format xxl 720g,"Lustucru, Lustucru selection","[""en:plant-based-foods-and-beverages"", ""en:plant-based-foods"", ""en:cereals-and-potatoes"", ""en:frozen-foods"", ""en:cereals-and-their-products"", ""en:potatoes-and-their-products"", ""en:pastas"", ""en:cereal-pastas"", ""en:fresh-pasta"", ""en:gnocchi"", ""en:gnocchi-of-durum-wheat-semolina"", ""en:potato-gnocchi""]",c,3.0,b04956fb72164d0aa169caa42e9bfdbb13617cfbe2044d789ec498de0fa4d998,2026-09-06T22:57:12.552522+00:00,1788452995,NO_VERIFICABLE_HISTORICAMENTE,,,,2024,2,1,False
14174,PRODUCT,3423182102411,,5.090,,EUR,2024-02-29,10,3658,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True,pur jus pomme framboise bio,Thomas Le Prince,"[""en:beverages-and-beverages-preparations"", ""en:plant-based-foods-and-beverages"", ""en:beverages"", ""en:fruit-based-foods-and-beverages"", ""en:plant-based-beverages"", ""en:fruit-based-beverages"", ""en:juices-and-nectars"", ""en:fruit-juices"", ""en:multifruit-juices""]",d,1.0,d0db609e5c045e822adffddf1c76db2d871627f5ea815751fcd0216e91ad4014,2026-09-06T22:58:21.457654+00:00,1773781785,NO_VERIFICABLE_HISTORICAMENTE,,,,2024,2,3,False
14740,PRODUCT,3019089042228,,2.500,,EUR,2024-03-06,3,3797,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True,Rilettes de thon,Petit Navire,"[""en:seafood"", ""en:fishes-and-their-products"", ""en:fishes"", ""en:spreads"", ""en:fatty-fishes"", ""en:salted-spreads"", ""en:rillettes"", ""en:tunas"", ""en:fish-preparations"", ""en:fish-rillettes"", ""en:tuna-preparations"", ""en:tuna-rillettes""]",b,4.0,93fb7c44d4b195f9d413ab31e4a27740bd30a9145da7f06004d0449b96b9eadc,2026-09-06T22:56:14.270975+00:00,1774494952,NO_VERIFICABLE_HISTORICAMENTE,,,,2024,3,2,False
14782,PRODUCT,3165959213028,,2.760,,EUR,2024-03-06,3,3797,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True,Saupiquet - Thon à la Catalane,Saupiquet,"[""en:seafood"", ""en:fishes-and-their-products"", ""en:canned-foods"", ""en:fishes"", ""en:fatty-fishes"", ""en:meals"", ""en:canned-fishes"", ""en:tunas"", ""en:meals-with-fish"", ""en:tuna-in-catalan-style""]",c,4.0,211e36bf2792ead092a9301b7f45bcdb8033e2dc0fc9a4c394665ad8fbd7fb7d,2026-09-06T22:56:56.295961+00:00,1779304745,NO_VERIFICABLE_HISTORICAMENTE,,,,2024,3,2,False
