price_id,price_type,product_code,category_tag,price,price_per,currency,date,location_id,proof_id,proof_type,country,city,qc_price_positive,qc_currency_present,qc_date_present,qc_date_not_future,qc_date_valid,qc_proof_present,qc_proof_visual,qc_product_identity,qc_core_eligible
71741,PRODUCT,3019089042228,,2.650,,EUR,2025-01-22,2019,19563,PRICE_TAG,France,Levallois-Perret,True,True,True,True,True,True,False,True,True
72227,PRODUCT,3256223264768,,2.740,,EUR,2025-01-25,478,19662,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,True,True,True
73795,PRODUCT,5760466994484,,16.290,,AED,2025-02-01,2097,20204,RECEIPT,الإمارات العربية المتحدة,دبي,True,True,True,True,True,True,True,True,True
73796,PRODUCT,5760466994484,,16.290,,AED,2025-02-01,2097,20205,PRICE_TAG,الإمارات العربية المتحدة,دبي,True,True,True,True,True,True,False,True,True
74242,PRODUCT,5000112611878,,1.650,,EUR,2025-02-01,351,20550,PRICE_TAG,France,Échirolles,True,True,True,True,True,True,False,True,True
75066,PRODUCT,5000112611878,,1.650,,EUR,2025-02-01,351,20480,PRICE_TAG,France,Échirolles,True,True,True,True,True,True,False,True,True
75239,PRODUCT,8719200265578,,2.990,,GBP,2025-02-02,364,20989,RECEIPT,United Kingdom,Hartlepool,True,True,True,True,True,True,False,True,True
75703,PRODUCT,3270190023524,,1.750,,EUR,2022-11-28,1869,21192,GDPR_REQUEST,France,Montélimar,True,True,True,True,True,True,False,True,True
78054,PRODUCT,3266140053581,,21.480,,EUR,2025-02-11,11,22084,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
79593,PRODUCT,3770014111777,,2.150,,EUR,2025-02-17,15,23017,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
80492,PRODUCT,3123930711758,,3.650,,EUR,2025-02-22,2326,23477,PRICE_TAG,France,Sevran,True,True,True,True,True,True,False,True,True
81144,PRODUCT,3760341070236,,1.710,,EUR,2024-08-17,1870,23821,GDPR_REQUEST,France,Bourg-lès-Valence,True,True,True,True,True,True,False,True,True
82876,PRODUCT,3297760097969,,1.740,,EUR,2023-04-14,1579,23821,GDPR_REQUEST,France,Montélimar,True,True,True,True,True,True,False,True,True
84613,PRODUCT,3038359004544,,0.560,,EUR,2021-02-26,1579,23821,GDPR_REQUEST,France,Montélimar,True,True,True,True,True,True,False,True,True
85646,PRODUCT,3456300014556,,2.580,,EUR,2025-02-26,10,24342,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
86884,PRODUCT,3760297370206,,3.240,,EUR,2025-03-04,2407,24927,RECEIPT,France,Redon,True,True,True,True,True,True,False,True,True
87453,PRODUCT,4260031550011,,6.490,,EUR,2025-03-07,1452,25219,RECEIPT,Deutschland,Chemnitz,True,True,True,True,True,True,True,True,True
88154,PRODUCT,3760020507916,,3.130,,EUR,2025-03-11,14,25633,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
88162,PRODUCT,3456300014556,,2.810,,EUR,2025-03-11,14,25633,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
88486,PRODUCT,3033491279294,,3.990,,EUR,2025-03-13,2224,25803,RECEIPT,France,Paris,True,True,True,True,True,True,False,True,True
89761,PRODUCT,3165959213028,,2.440,,EUR,2025-03-20,11,26790,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
90765,PRODUCT,3760020507916,,2.170,,EUR,2025-03-22,2552,27067,PRICE_TAG,France,Fontaine,True,True,True,True,True,True,False,True,True
92526,PRODUCT,3183811008117,,4.280,,EUR,2025-03-23,35,27160,PRICE_TAG,France,Grenoble,True,True,True,True,True,True,False,True,True
93813,PRODUCT,4061464487482,,3.490,,EUR,2025-03-28,468,27998,PRICE_TAG,Deutschland,,True,True,True,True,True,True,False,True,True
93999,PRODUCT,3456300014556,,2.750,,EUR,2025-04-01,2611,28173,PRICE_TAG,France,Varces-Allières-et-Risset,True,True,True,True,True,True,False,True,True
